"Year","ranch","block","treatment","variety","pctNOW","Trt_cat","Variety","Tier","WestToEast"
2006,3440,24.1,"C","Fritz",1.51779071294149,"insecticide","FR",7,2
2006,3440,24.1,"C","Monterrey",3.23271393538147,"insecticide","MO",7,2
2006,3440,24.1,"C","NP",1.49817052547428,"insecticide","NP",7,2
2006,3440,24.2,"C","Fritz",1.82716360655378,"insecticide","FR",7,1
2006,3440,24.2,"C","Monterrey",3.39147853140653,"insecticide","MO",7,1
2006,3440,24.2,"C","NP",1.53126975684109,"insecticide","NP",7,1
2006,3440,24.3,"C","Fritz",5.46719440532271,"insecticide","FR",8,1
2006,3440,24.3,"C","Monterrey",2.31759633168084,"insecticide","MO",8,1
2006,3440,24.3,"C","NP",2.21802774514592,"insecticide","NP",8,1
2006,3440,24.4,"C","Fritz",0.570989885496572,"insecticide","FR",8,2
2006,3440,24.4,"C","Monterrey",2.88047288695363,"insecticide","MO",8,2
2006,3440,24.4,"C","NP",1.47394613583138,"insecticide","NP",8,2
2006,3450,1.2,"MD","Fritz",4.79740193699004,"mating_disruption","FR",1,3
2006,3450,1.2,"MD","Monterrey",4.23878773724726,"mating_disruption","MO",1,3
2006,3450,1.2,"MD","NP",0.782050301964682,"mating_disruption","NP",1,3
2006,3450,1.3,"CMD","Monterrey",0.801282051282051,"both","MO",2,3
2006,3450,1.3,"CMD","NP",0,"both","NP",2,3
2006,3450,1.3,"CMD","WC",0.497512437810945,"both","WD",2,3
2006,3450,2.1,"MD","Fritz",2.13032581453634,"mating_disruption","FR",1,2
2006,3450,2.1,"MD","Monterrey",1.2779552715655,"mating_disruption","MO",1,2
2006,3450,2.1,"MD","NP",0.153846153846154,"mating_disruption","NP",1,2
2006,3450,2.2,"MD","Fritz",3.87300369286845,"mating_disruption","FR",1,1
2006,3450,2.2,"MD","Monterrey",5.5168395938523,"mating_disruption","MO",1,1
2006,3450,2.2,"MD","NP",0.284629981024668,"mating_disruption","NP",1,1
2006,3450,2.3,"CMD","Monterrey",2.19619326500732,"both","MO",2,1
2006,3450,2.3,"CMD","NP",0.359712230215827,"both","NP",2,1
2006,3450,2.3,"CMD","WC",2.68006700167504,"both","WD",2,1
2006,3450,11.2,"MD","Monterrey",4.71567267683773,"mating_disruption","MO",3,1
2006,3450,11.2,"MD","NP",1.171875,"mating_disruption","NP",3,1
2006,3450,11.2,"MD","Price",5.14579759862779,"mating_disruption","PR",3,1
2006,3450,11.3,"CMD","Carmel",2.89239482200647,"both","CA",4,0
2006,3450,11.3,"CMD","Monterrey",3.69611962023223,"both","MO",4,0
2006,3450,11.3,"CMD","NP",0.605893819516111,"both","NP",4,0
2006,3450,12.1,"MD","Monterrey",2.24855409789815,"mating_disruption","MO",3,4
2006,3450,12.1,"MD","NP",0.606655775619964,"mating_disruption","NP",3,4
2006,3450,12.1,"MD","Price",1.0218492220946,"mating_disruption","PR",3,4
2006,3450,12.3,"CMD","Carmel",0.713266761768902,"both","CA",4,2
2006,3450,12.3,"CMD","Monterrey",0.397350993377483,"both","MO",4,2
2006,3450,12.3,"CMD","NP",0.308166409861325,"both","NP",4,2
2006,3450,12.4,"CMD","Carmel",0.858482213798585,"both","CA",4,3
2006,3450,12.4,"CMD","Monterrey",1.66646696939693,"both","MO",4,3
2006,3450,12.4,"CMD","NP",0.378098205190716,"both","NP",4,3
2006,3460,24.4,"C","Fritz",0.796178343949045,"insecticide","FR",NA,NA
2006,3460,24.4,"C","Monterrey",2.1484375,"insecticide","MO",NA,NA
2006,3460,24.4,"C","NP",0.699300699300699,"insecticide","NP",NA,NA
2006,3460,25.4,"C","Fritz",1.54088578872174,"insecticide","FR",10,1
2006,3460,25.4,"C","Monterrey",1.58245798319328,"insecticide","MO",10,1
2006,3460,25.4,"C","NP",0.849206349206349,"insecticide","NP",10,1
2006,3460,30.1,"C","Monterrey",0.974233832191772,"insecticide","MO",9,3
2006,3460,30.1,"C","NP",0.563336904983414,"insecticide","NP",9,3
2006,3460,30.1,"C","WC",0.427094943763299,"insecticide","WD",9,3
2006,3460,30.3,"C","Fritz",0.693481276005548,"insecticide","FR",10,2
2006,3460,30.3,"C","Monterrey",2.21914008321775,"insecticide","MO",10,2
2006,3460,30.3,"C","NP",1.06666666666667,"insecticide","NP",10,2
2006,3460,30.4,"C","Fritz",2.37631633092045,"insecticide","FR",10,3
2006,3460,30.4,"C","Monterrey",4.45689667719446,"insecticide","MO",10,3
2006,3460,30.4,"C","NP",2.82980157683402,"insecticide","NP",10,3
2007,3440,24.1,"C","Fritz",2.65611019318058,"insecticide","FR",7,2
2007,3440,24.1,"C","Monterey",2.20924503292875,"insecticide","MO",7,2
2007,3440,24.1,"C","NP",0.710422700473891,"insecticide","NP",7,2
2007,3440,24.2,"C","Fritz",0.708896857402399,"insecticide","FR",7,1
2007,3440,24.2,"C","Monterey",1.87327079547501,"insecticide","MO",7,1
2007,3440,24.2,"C","NP",0.421691268451339,"insecticide","NP",7,1
2007,3440,24.3,"C","Fritz",3.75468587205297,"insecticide","FR",8,1
2007,3440,24.3,"C","Monterey",1.38460179509955,"insecticide","MO",8,1
2007,3440,24.3,"C","NP",0.636958062230239,"insecticide","NP",8,1
2007,3440,24.4,"C","Fritz",7.99851159342667,"insecticide","FR",8,2
2007,3440,24.4,"C","Monterey",2.75502835959918,"insecticide","MO",8,2
2007,3440,24.4,"C","NP",1.24150905181815,"insecticide","NP",8,2
2007,3450,1.2,"MD","Fritz",4.375,"mating_disruption","FR",1,3
2007,3450,1.2,"MD","Monterey",2.4528728286091,"mating_disruption","MO",1,3
2007,3450,1.2,"MD","NP",0.328407224958949,"mating_disruption","NP",1,3
2007,3450,1.3,"CMD","Monterey",0.284495021337127,"both","MO",2,3
2007,3450,1.3,"CMD","NP",0,"both","NP",2,3
2007,3450,1.3,"CMD","Wood Col",0.387096774193548,"both","WD",2,3
2007,3450,2.1,"MD","Fritz",2.85714285714286,"mating_disruption","FR",1,2
2007,3450,2.1,"MD","Monterey",2.37762237762238,"mating_disruption","MO",1,2
2007,3450,2.1,"MD","NP",0.875656742556918,"mating_disruption","NP",1,2
2007,3450,2.2,"MD","Fritz",11.2698300337484,"mating_disruption","FR",1,1
2007,3450,2.2,"MD","Monterey",3.90922604148214,"mating_disruption","MO",1,1
2007,3450,2.2,"MD","NP",1.53018638573744,"mating_disruption","NP",1,1
2007,3450,2.3,"CMD","Monterey",3.12124849939976,"both","MO",2,1
2007,3450,2.3,"CMD","NP",0.591715976331361,"both","NP",2,1
2007,3450,2.3,"CMD","Wood Col",0.274348422496571,"both","WD",2,1
2007,3450,11.2,"MD","Monterey",0.981461286804798,"mating_disruption","MO",3,1
2007,3450,11.2,"MD","NP",1.1001100110011,"mating_disruption","NP",3,1
2007,3450,11.2,"MD","Price",0.141242937853107,"mating_disruption","PR",3,1
2007,3450,11.3,"C","Carmel",1.56494522691706,"insecticide","CA",4,0
2007,3450,11.3,"C","Monterey",1.63934426229508,"insecticide","MO",4,0
2007,3450,11.3,"C","NP",0.302114803625378,"insecticide","NP",4,0
2007,3450,11.4,"C","Carmel",0.810372771474878,"insecticide","CA",4,1
2007,3450,11.4,"C","Monterey",0.774193548387097,"insecticide","MO",4,1
